Date,Hour,Footfall
2021-11-17,0,0
2021-11-17,1,8
2021-11-17,2,36
2021-11-17,3,9
2021-11-17,4,33
2021-11-17,5,25
2021-11-17,6,26
2021-11-17,7,26
2021-11-17,8,45
2021-11-17,9,27
2021-11-17,10,8
2021-11-17,11,34
2021-11-17,12,50
2021-11-17,13,49
2021-11-17,14,8
2021-11-17,15,15
2021-11-17,16,25
2021-11-17,17,21
2021-11-17,18,43
2021-11-17,19,8
2021-11-17,20,17
2021-11-17,21,27
2021-11-17,22,36
2021-11-17,23,28
2021-11-18,0,36
2021-11-18,1,5
2021-11-18,2,28
2021-11-18,3,28
2021-11-18,4,33
2021-11-18,5,20
2021-11-18,6,12
2021-11-18,7,40
2021-11-18,8,37
2021-11-18,9,40
2021-11-18,10,44
2021-11-18,11,8
2021-11-18,12,18
2021-11-18,13,40
2021-11-18,14,34
2021-11-18,15,35
2021-11-18,16,22
2021-11-18,17,44
2021-11-18,18,47
2021-11-18,19,10
2021-11-18,20,10
2021-11-18,21,47
2021-11-18,22,21
2021-11-18,23,41
2021-11-19,0,13
2021-11-19,1,11
2021-11-19,2,5
2021-11-19,3,9
2021-11-19,4,31
2021-11-19,5,40
2021-11-19,6,41
2021-11-19,7,5
2021-11-19,8,24
2021-11-19,9,48
2021-11-19,10,49
2021-11-19,11,45
2021-11-19,12,38
2021-11-19,13,47
2021-11-19,14,50
2021-11-19,15,33
2021-11-19,16,44
2021-11-19,17,8
2021-11-19,18,29
2021-11-19,19,42
2021-11-19,20,8
2021-11-19,21,7
2021-11-19,22,24
2021-11-19,23,48
2021-11-20,0,15
2021-11-20,1,28
2021-11-20,2,46
2021-11-20,3,44
2021-11-20,4,20
2021-11-20,5,26
2021-11-20,6,18
2021-11-20,7,23
2021-11-20,8,32
2021-11-20,9,17
2021-11-20,10,5
2021-11-20,11,13
2021-11-20,12,15
2021-11-20,13,47
2021-11-20,14,8
2021-11-20,15,19
2021-11-20,16,42
2021-11-20,17,20
2021-11-20,18,28
2021-11-20,19,18
2021-11-20,20,35
2021-11-20,21,30
2021-11-20,22,44
2021-11-20,23,20
2021-11-21,0,9
2021-11-21,1,7
2021-11-21,2,9
2021-11-21,3,37
2021-11-21,4,12
2021-11-21,5,16
2021-11-21,6,14
2021-11-21,7,23
2021-11-21,8,36
2021-11-21,9,14
2021-11-21,10,18
2021-11-21,11,16
2021-11-21,12,9
2021-11-21,13,17
2021-11-21,14,10
2021-11-21,15,16
2021-11-21,16,22
2021-11-21,17,7
2021-11-21,18,13
2021-11-21,19,29
2021-11-21,20,27
2021-11-21,21,32
2021-11-21,22,11
2021-11-21,23,38
2021-11-22,0,21
2021-11-22,1,36
2021-11-22,2,27
2021-11-22,3,21
2021-11-22,4,26
2021-11-22,5,42
2021-11-22,6,5
2021-11-22,7,26
2021-11-22,8,15
2021-11-22,9,34
2021-11-22,10,35
2021-11-22,11,8
2021-11-22,12,21
2021-11-22,13,17
2021-11-22,14,40
2021-11-22,15,6
2021-11-22,16,41
2021-11-22,17,15
2021-11-22,18,20
2021-11-22,19,25
2021-11-22,20,34
2021-11-22,21,19
2021-11-22,22,24
2021-11-22,23,49
2021-11-23,0,29
2021-11-23,1,36
2021-11-23,2,24
2021-11-23,3,49
2021-11-23,4,39
2021-11-23,5,16
2021-11-23,6,12
2021-11-23,7,39
2021-11-23,8,46
2021-11-23,9,8
2021-11-23,10,8
2021-11-23,11,8
2021-11-23,12,26
2021-11-23,13,21
2021-11-23,14,44
2021-11-23,15,39
2021-11-23,16,19
2021-11-23,17,20
2021-11-23,18,9
2021-11-23,19,42
2021-11-23,20,38
2021-11-23,21,31
2021-11-23,22,15
2021-11-23,23,6
2021-11-24,0,31
2021-11-24,1,24
2021-11-24,2,29
2021-11-24,3,35
2021-11-24,4,33
2021-11-24,5,48
2021-11-24,6,40
2021-11-24,7,46
2021-11-24,8,41
2021-11-24,9,6
2021-11-24,10,30
2021-11-24,11,16
2021-11-24,12,14
2021-11-24,13,8
2021-11-24,14,8
2021-11-24,15,19
2021-11-24,16,27
2021-11-24,17,18
2021-11-24,18,28
2021-11-24,19,47
2021-11-24,20,37
2021-11-24,21,48
2021-11-24,22,38
2021-11-24,23,12
2021-11-25,0,22
2021-11-25,1,13
2021-11-25,2,9
2021-11-25,3,39
2021-11-25,4,41
2021-11-25,5,8
2021-11-25,6,17
2021-11-25,7,13
2021-11-25,8,18
2021-11-25,9,31
2021-11-25,10,25
2021-11-25,11,24
2021-11-25,12,20
2021-11-25,13,42
2021-11-25,14,10
2021-11-25,15,28
2021-11-25,16,44
2021-11-25,17,26
2021-11-25,18,35
2021-11-25,19,30
2021-11-25,20,36
2021-11-25,21,36
2021-11-25,22,34
2021-11-25,23,17
2021-11-26,0,20
2021-11-26,1,22
2021-11-26,2,45
2021-11-26,3,38
2021-11-26,4,32
2021-11-26,5,42
2021-11-26,6,44
2021-11-26,7,48
2021-11-26,8,11
2021-11-26,9,37
2021-11-26,10,6
2021-11-26,11,29
2021-11-26,12,5
2021-11-26,13,10
2021-11-26,14,22
2021-11-26,15,35
2021-11-26,16,29
2021-11-26,17,33
2021-11-26,18,48
2021-11-26,19,29
2021-11-26,20,39
2021-11-26,21,38
2021-11-26,22,35
2021-11-26,23,26
2021-11-27,0,18
2021-11-27,1,49
2021-11-27,2,7
2021-11-27,3,16
2021-11-27,4,46
2021-11-27,5,13
2021-11-27,6,34
2021-11-27,7,47
2021-11-27,8,30
2021-11-27,9,23
2021-11-27,10,21
2021-11-27,11,11
2021-11-27,12,5
2021-11-27,13,45
2021-11-27,14,7
2021-11-27,15,49
2021-11-27,16,17
2021-11-27,17,48
2021-11-27,18,20
2021-11-27,19,29
2021-11-27,20,46
2021-11-27,21,33
2021-11-27,22,48
2021-11-27,23,34
2021-11-28,0,42
2021-11-28,1,19
2021-11-28,2,7
2021-11-28,3,22
2021-11-28,4,44
2021-11-28,5,15
2021-11-28,6,21
2021-11-28,7,27
2021-11-28,8,15
2021-11-28,9,16
2021-11-28,10,24
2021-11-28,11,41
2021-11-28,12,48
2021-11-28,13,47
2021-11-28,14,49
2021-11-28,15,37
2021-11-28,16,24
2021-11-28,17,32
2021-11-28,18,12
2021-11-28,19,50
2021-11-28,20,30
2021-11-28,21,46
2021-11-28,22,48
2021-11-28,23,20
2021-11-29,0,27
2021-11-29,1,48
2021-11-29,2,34
2021-11-29,3,46
2021-11-29,4,19
2021-11-29,5,35
2021-11-29,6,10
2021-11-29,7,23
2021-11-29,8,5
2021-11-29,9,34
2021-11-29,10,20
2021-11-29,11,31
2021-11-29,12,5
2021-11-29,13,48
2021-11-29,14,35
2021-11-29,15,48
2021-11-29,16,10
2021-11-29,17,49
2021-11-29,18,14
2021-11-29,19,34
2021-11-29,20,20
2021-11-29,21,26
2021-11-29,22,11
2021-11-29,23,26
2021-11-30,0,49
2021-11-30,1,9
2021-11-30,2,46
2021-11-30,3,43
2021-11-30,4,21
2021-11-30,5,32
2021-11-30,6,24
2021-11-30,7,22
2021-11-30,8,31
2021-11-30,9,46
2021-11-30,10,7
2021-11-30,11,8
2021-11-30,12,25
2021-11-30,13,36
2021-11-30,14,36
2021-11-30,15,9
2021-11-30,16,22
2021-11-30,17,7
2021-11-30,18,26
2021-11-30,19,14
2021-11-30,20,22
2021-11-30,21,25
2021-11-30,22,15
2021-11-30,23,38
2021-12-01,0,47
2021-12-01,1,32
2021-12-01,2,35
2021-12-01,3,45
2021-12-01,4,22
2021-12-01,5,13
2021-12-01,6,30
2021-12-01,7,38
2021-12-01,8,46
2021-12-01,9,35
2021-12-01,10,12
2021-12-01,11,28
2021-12-01,12,19
2021-12-01,13,32
2021-12-01,14,29
2021-12-01,15,36
2021-12-01,16,18
2021-12-01,17,28
2021-12-01,18,29
2021-12-01,19,39
2021-12-01,20,38
2021-12-01,21,44
2021-12-01,22,44
2021-12-01,23,32
2021-12-02,0,36
2021-12-02,1,25
2021-12-02,2,35
2021-12-02,3,32
2021-12-02,4,9
2021-12-02,5,20
2021-12-02,6,48
2021-12-02,7,50
2021-12-02,8,18
2021-12-02,9,18
2021-12-02,10,36
2021-12-02,11,7
2021-12-02,12,36
2021-12-02,13,26
2021-12-02,14,41
2021-12-02,15,21
2021-12-02,16,36
2021-12-02,17,42
2021-12-02,18,48
2021-12-02,19,9
2021-12-02,20,15
2021-12-02,21,37
2021-12-02,22,46
2021-12-02,23,14
2021-12-03,0,50
2021-12-03,1,50
2021-12-03,2,24
2021-12-03,3,41
2021-12-03,4,39
2021-12-03,5,20
2021-12-03,6,6
2021-12-03,7,9
2021-12-03,8,18
2021-12-03,9,45
2021-12-03,10,47
2021-12-03,11,12
2021-12-03,12,37
2021-12-03,13,25
2021-12-03,14,45
2021-12-03,15,32
2021-12-03,16,50
2021-12-03,17,17
2021-12-03,18,13
2021-12-03,19,15
2021-12-03,20,37
2021-12-03,21,19
2021-12-03,22,45
2021-12-03,23,20
2021-12-04,0,24
2021-12-04,1,47
2021-12-04,2,16
2021-12-04,3,42
2021-12-04,4,47
2021-12-04,5,36
2021-12-04,6,9
2021-12-04,7,39
2021-12-04,8,40
2021-12-04,9,15
2021-12-04,10,32
2021-12-04,11,13
2021-12-04,12,40
2021-12-04,13,24
2021-12-04,14,41
2021-12-04,15,19
2021-12-04,16,14
2021-12-04,17,7
2021-12-04,18,43
2021-12-04,19,38
2021-12-04,20,42
2021-12-04,21,12
2021-12-04,22,9
2021-12-04,23,32
2021-12-05,0,43
2021-12-05,1,43
2021-12-05,2,25
2021-12-05,3,8
2021-12-05,4,50
2021-12-05,5,34
2021-12-05,6,44
2021-12-05,7,28
2021-12-05,8,34
2021-12-05,9,23
2021-12-05,10,6
2021-12-05,11,44
2021-12-05,12,35
2021-12-05,13,29
2021-12-05,14,6
2021-12-05,15,23
2021-12-05,16,36
2021-12-05,17,25
2021-12-05,18,10
2021-12-05,19,34
2021-12-05,20,7
2021-12-05,21,42
2021-12-05,22,15
2021-12-05,23,25
2021-12-06,0,50
2021-12-06,1,49
2021-12-06,2,45
2021-12-06,3,17
2021-12-06,4,23
2021-12-06,5,23
2021-12-06,6,39
2021-12-06,7,17
2021-12-06,8,38
2021-12-06,9,48
2021-12-06,10,22
2021-12-06,11,33
2021-12-06,12,15
2021-12-06,13,20
2021-12-06,14,28
2021-12-06,15,22
2021-12-06,16,29
2021-12-06,17,42
2021-12-06,18,41
2021-12-06,19,34
2021-12-06,20,28
2021-12-06,21,16
2021-12-06,22,23
2021-12-06,23,16
2021-12-07,0,28
2021-12-07,1,11
2021-12-07,2,34
2021-12-07,3,34
2021-12-07,4,21
2021-12-07,5,32
2021-12-07,6,15
2021-12-07,7,20
2021-12-07,8,45
2021-12-07,9,40
2021-12-07,10,27
2021-12-07,11,12
2021-12-07,12,28
2021-12-07,13,49
2021-12-07,14,10
2021-12-07,15,33
2021-12-07,16,22
2021-12-07,17,15
2021-12-07,18,49
2021-12-07,19,25
2021-12-07,20,16
2021-12-07,21,44
2021-12-07,22,43
2021-12-07,23,22
2021-12-08,0,49
2021-12-08,1,16
2021-12-08,2,13
2021-12-08,3,13
2021-12-08,4,21
2021-12-08,5,10
2021-12-08,6,10
2021-12-08,7,22
2021-12-08,8,30
2021-12-08,9,16
2021-12-08,10,7
2021-12-08,11,47
2021-12-08,12,47
2021-12-08,13,20
2021-12-08,14,45
2021-12-08,15,49
2021-12-08,16,20
2021-12-08,17,48
2021-12-08,18,23
2021-12-08,19,25
2021-12-08,20,28
2021-12-08,21,44
2021-12-08,22,27
2021-12-08,23,34
2021-12-09,0,6
2021-12-09,1,37
2021-12-09,2,48
2021-12-09,3,50
2021-12-09,4,48
2021-12-09,5,8
2021-12-09,6,23
2021-12-09,7,39
2021-12-09,8,34
2021-12-09,9,46
2021-12-09,10,35
2021-12-09,11,42
2021-12-09,12,46
2021-12-09,13,28
2021-12-09,14,45
2021-12-09,15,12
2021-12-09,16,45
2021-12-09,17,16
2021-12-09,18,11
2021-12-09,19,12
2021-12-09,20,11
2021-12-09,21,44
2021-12-09,22,15
2021-12-09,23,8
2021-12-10,0,41
2021-12-10,1,47
2021-12-10,2,16
2021-12-10,3,31
2021-12-10,4,45
2021-12-10,5,43
2021-12-10,6,10
2021-12-10,7,25
2021-12-10,8,20
2021-12-10,9,19
2021-12-10,10,18
2021-12-10,11,5
2021-12-10,12,12
2021-12-10,13,17
2021-12-10,14,34
2021-12-10,15,31
2021-12-10,16,36
2021-12-10,17,45
2021-12-10,18,23
2021-12-10,19,37
2021-12-10,20,39
2021-12-10,21,44
2021-12-10,22,11
2021-12-10,23,11
2021-12-11,0,49
2021-12-11,1,13
2021-12-11,2,38
2021-12-11,3,35
2021-12-11,4,38
2021-12-11,5,21
2021-12-11,6,18
2021-12-11,7,32
2021-12-11,8,15
2021-12-11,9,50
2021-12-11,10,41
2021-12-11,11,14
2021-12-11,12,29
2021-12-11,13,9
2021-12-11,14,42
2021-12-11,15,9
2021-12-11,16,47
2021-12-11,17,25
2021-12-11,18,29
2021-12-11,19,41
2021-12-11,20,47
2021-12-11,21,23
2021-12-11,22,39
2021-12-11,23,19
2021-12-12,0,29
2021-12-12,1,28
2021-12-12,2,9
2021-12-12,3,25
2021-12-12,4,8
2021-12-12,5,14
2021-12-12,6,39
2021-12-12,7,12
2021-12-12,8,17
2021-12-12,9,7
2021-12-12,10,5
2021-12-12,11,23
2021-12-12,12,13
2021-12-12,13,26
2021-12-12,14,42
2021-12-12,15,17
2021-12-12,16,20
2021-12-12,17,26
2021-12-12,18,20
2021-12-12,19,26
2021-12-12,20,24
2021-12-12,21,23
2021-12-12,22,43
2021-12-12,23,18
2021-12-13,0,22
2021-12-13,1,17
2021-12-13,2,29
2021-12-13,3,49
2021-12-13,4,30
2021-12-13,5,35
2021-12-13,6,28
2021-12-13,7,12
2021-12-13,8,11
2021-12-13,9,47
2021-12-13,10,13
2021-12-13,11,47
2021-12-13,12,32
2021-12-13,13,20
2021-12-13,14,46
2021-12-13,15,15
2021-12-13,16,46
2021-12-13,17,9
2021-12-13,18,29
2021-12-13,19,13
2021-12-13,20,47
2021-12-13,21,32
2021-12-13,22,11
2021-12-13,23,50
2021-12-14,0,35
2021-12-14,1,48
2021-12-14,2,42
2021-12-14,3,50
2021-12-14,4,35
2021-12-14,5,26
2021-12-14,6,18
2021-12-14,7,29
2021-12-14,8,12
2021-12-14,9,24
2021-12-14,10,24
2021-12-14,11,15
2021-12-14,12,28
2021-12-14,13,44
2021-12-14,14,34
2021-12-14,15,23
2021-12-14,16,21
2021-12-14,17,48
2021-12-14,18,15
2021-12-14,19,12
2021-12-14,20,16
2021-12-14,21,32
2021-12-14,22,38
2021-12-14,23,30
2021-12-15,0,8
2021-12-15,1,15
2021-12-15,2,27
2021-12-15,3,12
2021-12-15,4,19
2021-12-15,5,7
2021-12-15,6,17
2021-12-15,7,26
2021-12-15,8,29
2021-12-15,9,15
2021-12-15,10,24
2021-12-15,11,8
2021-12-15,12,8
2021-12-15,13,40
2021-12-15,14,38
2021-12-15,15,27
2021-12-15,16,35
2021-12-15,17,43
2021-12-15,18,46
2021-12-15,19,44
2021-12-15,20,45
2021-12-15,21,6
2021-12-15,22,33
2021-12-15,23,17
2021-12-16,0,17
2021-12-16,1,12
2021-12-16,2,26
2021-12-16,3,43
2021-12-16,4,14
2021-12-16,5,34
2021-12-16,6,20
2021-12-16,7,41
2021-12-16,8,16
2021-12-16,9,9
2021-12-16,10,45
2021-12-16,11,18
2021-12-16,12,10
2021-12-16,13,24
2021-12-16,14,8
2021-12-16,15,13
2021-12-16,16,48
2021-12-16,17,19
2021-12-16,18,20
2021-12-16,19,48
2021-12-16,20,41
2021-12-16,21,25
2021-12-16,22,48
2021-12-16,23,26
2021-12-17,0,39
2021-12-17,1,18
2021-12-17,2,9
2021-12-17,3,47
2021-12-17,4,21
2021-12-17,5,10
2021-12-17,6,31
2021-12-17,7,29
2021-12-17,8,43
2021-12-17,9,27
2021-12-17,10,7
2021-12-17,11,39
2021-12-17,12,48
2021-12-17,13,23
2021-12-17,14,9
2021-12-17,15,27
2021-12-17,16,44
2021-12-17,17,45
2021-12-17,18,9
2021-12-17,19,29
2021-12-17,20,50
2021-12-17,21,42
2021-12-17,22,46
2021-12-17,23,40
2021-12-18,0,15
2021-12-18,1,22
2021-12-18,2,28
2021-12-18,3,5
2021-12-18,4,28
2021-12-18,5,28
2021-12-18,6,39
2021-12-18,7,21
2021-12-18,8,7
2021-12-18,9,5
2021-12-18,10,20
2021-12-18,11,12
2021-12-18,12,36
2021-12-18,13,49
2021-12-18,14,13
2021-12-18,15,8
2021-12-18,16,17
2021-12-18,17,48
2021-12-18,18,43
2021-12-18,19,12
2021-12-18,20,17
2021-12-18,21,9
2021-12-18,22,19
2021-12-18,23,30
2021-12-19,0,50
2021-12-19,1,48
2021-12-19,2,40
2021-12-19,3,39
2021-12-19,4,30
2021-12-19,5,48
2021-12-19,6,8
2021-12-19,7,41
2021-12-19,8,10
2021-12-19,9,40
2021-12-19,10,34
2021-12-19,11,26
2021-12-19,12,20
2021-12-19,13,24
2021-12-19,14,34
2021-12-19,15,40
2021-12-19,16,32
2021-12-19,17,11
2021-12-19,18,15
2021-12-19,19,29
2021-12-19,20,16
2021-12-19,21,27
2021-12-19,22,28
2021-12-19,23,25
2021-12-20,0,41
2021-12-20,1,20
2021-12-20,2,25
2021-12-20,3,45
2021-12-20,4,44
2021-12-20,5,36
2021-12-20,6,25
2021-12-20,7,49
2021-12-20,8,11
2021-12-20,9,41
2021-12-20,10,22
2021-12-20,11,26
2021-12-20,12,43
2021-12-20,13,32
2021-12-20,14,33
2021-12-20,15,13
2021-12-20,16,7
2021-12-20,17,41
2021-12-20,18,44
2021-12-20,19,5
2021-12-20,20,40
2021-12-20,21,28
2021-12-20,22,20
2021-12-20,23,37
2021-12-21,0,19
2021-12-21,1,38
2021-12-21,2,46
2021-12-21,3,11
2021-12-21,4,42
2021-12-21,5,28
2021-12-21,6,50
2021-12-21,7,41
2021-12-21,8,26
2021-12-21,9,11
2021-12-21,10,21
2021-12-21,11,50
2021-12-21,12,25
2021-12-21,13,8
2021-12-21,14,8
2021-12-21,15,39
2021-12-21,16,35
2021-12-21,17,6
2021-12-21,18,19
2021-12-21,19,6
2021-12-21,20,24
2021-12-21,21,12
2021-12-21,22,34
2021-12-21,23,45
2021-12-22,0,17
2021-12-22,1,10
2021-12-22,2,44
2021-12-22,3,29
2021-12-22,4,16
2021-12-22,5,21
2021-12-22,6,42
2021-12-22,7,11
2021-12-22,8,5
2021-12-22,9,46
2021-12-22,10,35
2021-12-22,11,43
2021-12-22,12,46
2021-12-22,13,30
2021-12-22,14,22
2021-12-22,15,40
2021-12-22,16,42
2021-12-22,17,9
2021-12-22,18,27
2021-12-22,19,50
2021-12-22,20,34
2021-12-22,21,14
2021-12-22,22,22
2021-12-22,23,21
2021-12-23,0,44
2021-12-23,1,40
2021-12-23,2,45
2021-12-23,3,10
2021-12-23,4,11
2021-12-23,5,13
2021-12-23,6,13
2021-12-23,7,29
2021-12-23,8,29
2021-12-23,9,26
2021-12-23,10,44
2021-12-23,11,21
2021-12-23,12,32
2021-12-23,13,16
2021-12-23,14,50
2021-12-23,15,40
2021-12-23,16,7
2021-12-23,17,18
2021-12-23,18,27
2021-12-23,19,25
2021-12-23,20,45
2021-12-23,21,49
2021-12-23,22,30
2021-12-23,23,29
2021-12-24,0,26
2021-12-24,1,38
2021-12-24,2,25
2021-12-24,3,17
2021-12-24,4,7
2021-12-24,5,23
2021-12-24,6,34
2021-12-24,7,34
2021-12-24,8,33
2021-12-24,9,32
2021-12-24,10,28
2021-12-24,11,5
2021-12-24,12,39
2021-12-24,13,21
2021-12-24,14,31
2021-12-24,15,34
2021-12-24,16,12
2021-12-24,17,35
2021-12-24,18,42
2021-12-24,19,18
2021-12-24,20,21
2021-12-24,21,48
2021-12-24,22,20
2021-12-24,23,23
2021-12-25,0,37
2021-12-25,1,50
2021-12-25,2,34
2021-12-25,3,9
2021-12-25,4,18
2021-12-25,5,15
2021-12-25,6,37
2021-12-25,7,50
2021-12-25,8,33
2021-12-25,9,19
2021-12-25,10,14
2021-12-25,11,38
2021-12-25,12,24
2021-12-25,13,33
2021-12-25,14,16
2021-12-25,15,25
2021-12-25,16,16
2021-12-25,17,40
2021-12-25,18,8
2021-12-25,19,18
2021-12-25,20,46
2021-12-25,21,5
2021-12-25,22,12
2021-12-25,23,25
2021-12-26,0,21
2021-12-26,1,39
2021-12-26,2,47
2021-12-26,3,31
2021-12-26,4,30
2021-12-26,5,43
2021-12-26,6,19
2021-12-26,7,37
2021-12-26,8,9
2021-12-26,9,27
2021-12-26,10,15
2021-12-26,11,34
2021-12-26,12,18
2021-12-26,13,14
2021-12-26,14,47
2021-12-26,15,9
2021-12-26,16,12
2021-12-26,17,11
2021-12-26,18,43
2021-12-26,19,36
2021-12-26,20,15
2021-12-26,21,5
2021-12-26,22,49
2021-12-26,23,42
2021-12-27,0,12
2021-12-27,1,49
2021-12-27,2,27
2021-12-27,3,40
2021-12-27,4,26
2021-12-27,5,30
2021-12-27,6,8
2021-12-27,7,12
2021-12-27,8,16
2021-12-27,9,5
2021-12-27,10,36
2021-12-27,11,12
2021-12-27,12,47
2021-12-27,13,21
2021-12-27,14,24
2021-12-27,15,43
2021-12-27,16,30
2021-12-27,17,43
2021-12-27,18,18
2021-12-27,19,8
2021-12-27,20,15
2021-12-27,21,42
2021-12-27,22,44
2021-12-27,23,16
2021-12-28,0,41
2021-12-28,1,34
2021-12-28,2,44
2021-12-28,3,13
2021-12-28,4,43
2021-12-28,5,31
2021-12-28,6,28
2021-12-28,7,42
2021-12-28,8,13
2021-12-28,9,31
2021-12-28,10,11
2021-12-28,11,37
2021-12-28,12,44
2021-12-28,13,34
2021-12-28,14,37
2021-12-28,15,26
2021-12-28,16,22
2021-12-28,17,40
2021-12-28,18,49
2021-12-28,19,44
2021-12-28,20,5
2021-12-28,21,27
2021-12-28,22,31
2021-12-28,23,15
2021-12-29,0,7
2021-12-29,1,10
2021-12-29,2,40
2021-12-29,3,10
2021-12-29,4,40
2021-12-29,5,27
2021-12-29,6,16
2021-12-29,7,41
2021-12-29,8,42
2021-12-29,9,26
2021-12-29,10,34
2021-12-29,11,14
2021-12-29,12,46
2021-12-29,13,8
2021-12-29,14,22
2021-12-29,15,18
2021-12-29,16,19
2021-12-29,17,25
2021-12-29,18,27
2021-12-29,19,8
2021-12-29,20,40
2021-12-29,21,49
2021-12-29,22,43
2021-12-29,23,25
2021-12-30,0,29
2021-12-30,1,22
2021-12-30,2,8
2021-12-30,3,17
2021-12-30,4,26
2021-12-30,5,50
2021-12-30,6,46
2021-12-30,7,20
2021-12-30,8,33
2021-12-30,9,44
2021-12-30,10,48
2021-12-30,11,13
2021-12-30,12,12
2021-12-30,13,44
2021-12-30,14,49
2021-12-30,15,16
2021-12-30,16,33
2021-12-30,17,11
2021-12-30,18,25
2021-12-30,19,33
2021-12-30,20,45
2021-12-30,21,7
2021-12-30,22,10
2021-12-30,23,23
2021-12-31,0,21
2021-12-31,1,24
2021-12-31,2,38
2021-12-31,3,7
2021-12-31,4,37
2021-12-31,5,23
2021-12-31,6,14
2021-12-31,7,10
2021-12-31,8,25
2021-12-31,9,26
2021-12-31,10,30
2021-12-31,11,42
2021-12-31,12,5
2021-12-31,13,21
2021-12-31,14,45
2021-12-31,15,6
2021-12-31,16,46
2021-12-31,17,45
2021-12-31,18,35
2021-12-31,19,27
2021-12-31,20,9
2021-12-31,21,24
2021-12-31,22,31
2021-12-31,23,50
2022-01-01,0,7
2022-01-01,1,6
2022-01-01,2,6
2022-01-01,3,6
2022-01-01,4,44
2022-01-01,5,10
2022-01-01,6,37
2022-01-01,7,42
2022-01-01,8,7
2022-01-01,9,10
2022-01-01,10,20
2022-01-01,11,18
2022-01-01,12,16
2022-01-01,13,26
2022-01-01,14,36
2022-01-01,15,21
2022-01-01,16,13
2022-01-01,17,28
2022-01-01,18,5
2022-01-01,19,26
2022-01-01,20,18
2022-01-01,21,20
2022-01-01,22,6
2022-01-01,23,50
2022-01-02,0,40
2022-01-02,1,49
2022-01-02,2,36
2022-01-02,3,23
2022-01-02,4,10
2022-01-02,5,5
2022-01-02,6,40
2022-01-02,7,21
2022-01-02,8,32
2022-01-02,9,36
2022-01-02,10,34
2022-01-02,11,44
2022-01-02,12,43
2022-01-02,13,39
2022-01-02,14,10
2022-01-02,15,36
2022-01-02,16,39
2022-01-02,17,39
2022-01-02,18,32
2022-01-02,19,43
2022-01-02,20,31
2022-01-02,21,17
2022-01-02,22,50
2022-01-02,23,39
2022-01-03,0,11
2022-01-03,1,20
2022-01-03,2,44
2022-01-03,3,26
2022-01-03,4,12
2022-01-03,5,11
2022-01-03,6,25
2022-01-03,7,13
2022-01-03,8,11
2022-01-03,9,14
2022-01-03,10,29
2022-01-03,11,21
2022-01-03,12,47
2022-01-03,13,5
2022-01-03,14,40
2022-01-03,15,10
2022-01-03,16,16
2022-01-03,17,36
2022-01-03,18,17
2022-01-03,19,22
2022-01-03,20,48
2022-01-03,21,47
2022-01-03,22,27
2022-01-03,23,43
2022-01-04,0,47
2022-01-04,1,43
2022-01-04,2,28
2022-01-04,3,30
2022-01-04,4,48
2022-01-04,5,47
2022-01-04,6,23
2022-01-04,7,5
2022-01-04,8,45
2022-01-04,9,30
2022-01-04,10,29
2022-01-04,11,7
2022-01-04,12,10
2022-01-04,13,43
2022-01-04,14,48
2022-01-04,15,29
2022-01-04,16,8
2022-01-04,17,48
2022-01-04,18,50
2022-01-04,19,16
2022-01-04,20,17
2022-01-04,21,28
2022-01-04,22,21
2022-01-04,23,10
2022-01-05,0,41
2022-01-05,1,42
2022-01-05,2,13
2022-01-05,3,9
2022-01-05,4,50
2022-01-05,5,45
2022-01-05,6,45
2022-01-05,7,17
2022-01-05,8,11
2022-01-05,9,17
2022-01-05,10,9
2022-01-05,11,11
2022-01-05,12,10
2022-01-05,13,12
2022-01-05,14,26
2022-01-05,15,46
2022-01-05,16,12
2022-01-05,17,14
2022-01-05,18,30
2022-01-05,19,22
2022-01-05,20,22
2022-01-05,21,6
2022-01-05,22,31
2022-01-05,23,12
2022-01-06,0,26
2022-01-06,1,30
2022-01-06,2,49
2022-01-06,3,9
2022-01-06,4,41
2022-01-06,5,15
2022-01-06,6,10
2022-01-06,7,13
2022-01-06,8,8
2022-01-06,9,36
2022-01-06,10,14
2022-01-06,11,26
2022-01-06,12,38
2022-01-06,13,33
2022-01-06,14,38
2022-01-06,15,6
2022-01-06,16,27
2022-01-06,17,14
2022-01-06,18,48
2022-01-06,19,17
2022-01-06,20,46
2022-01-06,21,29
2022-01-06,22,8
2022-01-06,23,14
2022-01-07,0,43
2022-01-07,1,8
2022-01-07,2,18
2022-01-07,3,33
2022-01-07,4,28
2022-01-07,5,19
2022-01-07,6,43
2022-01-07,7,14
2022-01-07,8,34
